"schoolid" "black11" "size11" "lep11" "lowinc11" "rwarn" "rbelow" "rmeet" "rexceed" "mwarn" "mbelow" "mmeet" "mexceed" "rwarnp" "rbelowp" "rmeetp" "rexceedp" "mwarnp" "mbelowp" "mmeetp" "mexceedp" "latitude" "longitude" "dmin" "dmax" "rad1" "rad2" "rad5" "rad10" "rmex11" "mmex11" "rmex09" "mmex09"
"2" 100100102002 0 244 0 38 3.4 17.2 37.9 41.4 0 6.9 65.5 27.6 0 20 46.7 33.3 0 3.3 56.7 40 39.818143 -91.248191 45.8196731512295 242.118024289224 0 0 0 0 79.3 93.1 80 96.7
"4" 100100202002 0 334 0 30.2 0 6.8 54.5 38.6 0 2.3 61.4 36.4 0 15.2 60.9 23.9 0 2.2 69.6 28.3 39.886022 -91.10816 37.3775302862056 233.625448962154 0 0 0 0 93.1 97.8 84.8 97.9
"8" 100100302008 0 79 0 44.9 1.8 30.4 51.8 16.1 3.6 14.3 62.5 19.6 0 21.7 58 20.3 0 10.1 79.7 10.1 40.19445 -91.036815 34.5893131389696 215.72314364269 0 0 0 0 67.9 82.1 78.3 89.8
"11" 100100402004 0 87 0 34.9 0 13.9 48.6 37.5 0 9.7 61.1 29.2 0 18.5 49.2 32.3 0 4.6 55.4 40 40.111317 -91.367053 50.2773188047732 232.903289903413 0 0 0 0 86.1 90.3 81.5 95.4
"22" 100117202019 8.5 989 0.2 52.7 0.6 23.6 46.7 29.1 1.3 16 62.8 20 0.8 22.3 48.4 28.5 0.6 14.4 59.9 25.1 39.930076 -91.366254 50.2651793840029 240.950336335451 0 0 0 0 75.8 82.8 76.9 85
"24" 107500302001 0.9 190 0 45.9 0 7.7 53.8 38.5 0 0 69.2 30.8 0 5.9 64.7 29.4 0 0 82.4 17.6 39.440346 -90.867238 46.3801722510943 249.378522011099 0 0 0 0 92.3 100 94.1 100
"27" 107500402001 4.8 128 0 59.9 0 38.7 38.7 22.6 0 6.5 74.2 19.4 0 34.9 48.8 16.3 2.3 27.3 50 20.5 39.70981 -90.725187 26.653095190218 229.911798725786 0 0 0 0 61.3 93.6 65.1 70.5
"30" 107501002010 0 520 0 52 0 20.5 39.8 39.8 0 7.2 63.9 28.9 0 19.8 59.3 21 0 14.8 74.1 11.1 39.595953 -90.803206 35.4675966913864 238.693514530975 0 0 0 0 79.6 92.8 80.3 85.2
"32" 107501201001 0 179 0.5 51.4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 39.70304 -91.147927 44.1541202711337 244.45227136053 0 0 0 0 NA NA NA NA
"33" 107501202001 0 226 0.8 47 0 27.5 47.1 25.5 2 10 68 20 0 36 48 16 0 24 60 16 39.697583 -91.044594 39.6919523453727 241.168740320528 0 0 0 0 72.6 88 64 76
"35" 200200102004 83.3 235 0 99.6 2.8 58.3 36.1 2.8 0 19.4 75 5.6 NA NA NA NA NA NA NA NA 37.012091 -89.183486 123.455544567816 372.775573559726 0 0 0 0 38.9 80.6 NA NA
"38" 200200502002 20.3 256 0.3 45.9 0 10.5 63.2 26.3 2.6 10.5 71.1 15.8 2.8 16.7 61.1 19.4 2.8 5.6 77.8 13.9 37.2278 -89.3244 106.663511275793 359.452440050807 0 0 0 0 89.5 86.9 80.5 91.7
"40" 204400102001 0.4 406 0 40.5 0 22.7 59.1 18.2 0 13.6 72.7 13.6 0 31.9 48.9 19.1 2.1 19.1 76.6 2.1 37.553187 -88.978212 98.0440396132774 334.090436406733 0 0 0 0 77.3 86.3 68 78.7
"41" 204403202003 0 235 0.4 57.5 0 18.5 40.7 40.7 0 0 77.8 22.2 5.6 25 44.4 25 2.8 16.7 47.2 33.3 37.513605 -88.831255 105.456185271046 335.695964281581 0 0 0 0 81.4 100 69.4 80.5
"42" 204404302001 0 35 0 54.2 NA NA NA NA NA NA NA NA 0 40 60 0 0 10 90 0 37.470975 -88.978213 102.415203601249 339.708810845929 0 0 0 0 NA NA 60 90
"43" 204405502001 0.2 380 1.2 52 0 11.4 72.7 15.9 0 2.3 70.5 27.3 2.6 17.9 43.6 35.9 0 12.8 51.3 35.9 37.412615 -88.89498 108.421019243198 343.066188354154 0 0 0 0 88.6 97.8 79.5 87.2
"44" 204406402001 0 86 0 44 0 13.3 60 26.7 0 0 80 20 0 7.1 28.6 64.3 0 0 28.6 71.4 37.371963 -89.020965 106.465244579222 346.821616760231 0 0 0 0 86.7 100 92.9 100
"48" 206100102001 0 132 0 24.6 0 0 46.2 53.8 0 0 46.2 53.8 0 17.6 47.1 35.3 0 0 41.2 58.8 37.265368 -88.702788 122.988165357946 351.9396640452 0 0 0 0 100 100 82.4 100
"49" 206100102002 1 162 0 29.9 0 6.9 44.8 48.3 0 6.9 48.3 44.8 0 16 56 28 0 4 44 52 37.203998 -88.770489 123.977993432923 356.548531254662 0 0 0 0 93.1 93.1 84 96
"50" 206100102003 9.3 569 0 71.6 0 18.7 56 25.3 0 2.7 62.7 34.7 0 19.4 62.9 17.7 0 6.5 66.1 27.4 37.153057 -88.722218 128.38819229285 359.768137511878 0 0 0 0 81.3 97.4 80.6 93.5
"51" 206100102006 2.9 135 0 44.3 0 26.7 53.3 20 0 13.3 73.3 13.3 0 0 31.3 68.8 0 0 6.3 93.8 37.15971 -88.61932 131.540937709214 358.775334676017 0 0 0 0 73.3 86.6 100.1 100.1
"52" 206100102010 11.1 186 0 74.2 4.8 14.3 52.4 28.6 4.8 4.8 61.9 28.6 0 33.3 56.7 10 0 10 73.3 16.7 37.124891 -88.629482 133.061586279406 361.220940190621 0 0 0 0 81 90.5 66.7 90
"54" 206103802001 0.5 153 0 55.2 0 22.2 61.1 16.7 0 11.1 61.1 27.8 0 23.1 46.2 30.8 0 3.8 65.4 30.8 37.229129 -88.858388 119.695093324452 355.384745331631 0 0 0 0 77.8 88.9 77 96.2
"56" 207710002004 18 194 0 82.8 5.7 34.3 45.7 14.3 0 17.1 82.9 0 0 28.1 37.5 34.4 3.1 34.4 46.9 15.6 37.271055 -89.09775 109.955760346716 354.358637290464 0 0 0 0 60 82.9 71.9 62.5
"58" 207710102005 59.9 428 0 85.3 2.2 50 45.7 2.2 2.2 30.4 58.7 8.7 2.1 57.4 36.2 4.3 0 25.5 68.1 6.4 37.133908 -89.169866 116.25112308863 364.348420906832 0 0 0 0 47.9 67.4 40.5 74.5
"59" 209101602001 0 76 0 35.1 10 30 50 10 10 10 70 10 0 28.6 57.1 14.3 0 14.3 71.4 14.3 37.510691 -89.041757 98.1008856514086 337.523844641302 0 0 0 0 60 80 71.4 85.7
"62" 209101702002 0.3 276 14.9 66.1 0 15.4 74.4 10.3 0 12.8 69.2 17.9 3 30.3 42.4 24.2 0 12.1 69.7 18.2 37.537178 -89.255936 89.7729296455364 337.75071107718 0 0 0 0 84.7 87.1 66.6 87.9
"64" 209103702002 0.6 116 0.6 45.8 1.1 29 46.2 23.7 0 9.7 67.7 22.6 3 33.3 39.4 24.2 0 17.9 65.7 16.4 37.461066 -89.252097 94.333092791455 342.877092950732 0 0 0 0 69.9 90.3 63.6 82.1
"66" 209104302001 0.3 332 0.3 48.7 0 19 47.6 33.3 0 7.1 71.4 21.4 0 31.1 48.9 20 0 22.2 57.8 20 37.450411 -89.275071 94.3151604101957 343.836060767249 0 0 0 0 80.9 92.8 68.9 77.8
"69" 209106602001 0 112 0 49 NA NA NA NA NA NA NA NA 8.7 30.4 47.8 13 4.3 13 69.6 13 37.366908 -89.161823 102.470837071113 348.400022651828 0 0 0 0 NA NA 60.8 82.6
