"key" "current" "open" "enrolled" "grades" "grade4" "latitude" "longitude"
"1" "cs1" "y" 2011 96 "5 to 8" 0 39.7342551 -90.2186369
"2" "cs2" "y" 2010 150 "K to 2" 0 41.807612 -87.7403127
"3" "cs3" "n" 1997 325 "6 to 12" 0 41.88155 -87.733688
"4" "cs4" "y" 2004 481 "9 to 12" 0 41.8922961 -87.7464475
"5" "cs5" "y" 1999 515 "PK to 8" 1 41.8772791 -87.7044093
"6" "cs6" "y" 2008 216 "5 to 7" 0 41.7688521 -87.6348147
"7" "cs7" "y" 2005 504 "6 to 8" 0 41.966435 -87.721385
"8" "cs8" "y" 2003 353 "9 to 12" 0 41.9126346 -87.697005
"9" "cs9" "y" 2007 855 "9 to 12" 0 41.9373089 -87.7266106
"10" "cs10" "n" 1999 295 "9 to 10" 0 41.8847805 -87.7632697
"11" "cs11" "y" 2008 20 "9 to 12" 0 40.0186095 -90.4239976
"12" "cs12" "y" 2005 167 "K to 8" 1 41.7677611 -87.6675919
"13" "cs13" "y" 2005 372 "9 to 12" 0 41.8049325 -87.6244111
"14" "cs14" "y" 1998 303 "K to 8" 1 41.7526636 -87.6002913
"15" "cs15" "y" 2006 457 "K to 8" 1 41.8192347 -87.6264804
"16" "cs16" "y" 2007 490 "K to 8" 1 42.085701 -88.4359589
"17" "cs17" "y" 2010 500 "K to 8" 1 41.8822794 -87.7651895
"18" "cs18" "y" 2006 386 "K to 8" 1 41.858452 -87.7079163
"19" "cs19" "y" 2012 832 "K to 12" 1 41.7712473 -87.6931346
"20" "cs20" "y" 2013 115 "4 to 6" 1 41.6794333 -87.6179295
"21" "cs21" "y" 2005 420 "K to 8" 1 41.7432082 -87.5877848
"22" "cs22" "y" 2002 730 "PK to 8" 1 41.7939945 -87.670069
"23" "cs23" "y" 1997 640 "K to 8" 1 41.9219023 -87.6813852
"24" "cs24" "y" 2011 379 "6 to 10" 0 41.9071381 -87.6461235
"25" "cs25" "y" 2007 420 "K to 6" 1 41.9505899 -87.7104161
"26" "cs26" "y" 2010 317 "7 to 12" 0 41.6529961 -87.6025169
"27" "cs27" "y" 2009 450 "K to 8" 1 41.6541186 -87.6050871
"28" "cs28" "y" 1997 1473 "3 to 12" 1 41.721208 -87.6551847
"29" "cs29" "y" 2008 585 "K to 2" 0 41.7200737 -87.6570511
"30" "cs30" "y" 2003 850 "9 to 12" 0 41.990198 -87.7271437
"31" "cs31" "y" 1997 425 "K to 8" 1 41.6845 -87.6168244
"32" "cs32" "y" 2006 600 "9 to 12" 0 41.7484217 -87.6690484
"33" "cs33" "y" 2010 270 "K to 4" 1 42.261067 -89.083803
"34" "cs34" "y" 2001 450 "K to 8" 1 41.7838007 -87.621871
"35" "cs35" "y" 2002 500 "K to 8" 1 41.921547 -87.776489
"36" "cs36" "y" 2005 720 "K to 8" 1 41.7457013 -87.6925734
"37" "cs37" "y" 2004 1000 "6 to 11" 0 42.013138 -87.675163
"38" "cs38" "n" 2010 300 "9 to 10" 0 41.8815498 -87.7336884
"39" "cs39" "y" 2006 600 "K to 9" 1 41.8809242 -87.6501541
"40" "cs40" "y" 2013 95 "K to 2" 0 41.9213598 -87.7573407
"41" "cs41" "n" 2007 53 "K to 8" 1 38.602602 -90.159715
"42" "cs42" "y" 2010 240 "9 to 10" 0 41.7455075 -87.5502326
"43" "cs43" "y" 2005 162 "K to 3" 0 41.9068008 -87.694404
"44" "cs44" "n" 1998 280 "K to 12" 1 38.547371 -90.136154
"45" "cs45" "y" 2014 0 "6 to 7" 0 41.6949271 -87.6528056
"46" "cs46" "y" 2009 482 "PK to 6" 1 41.8668022 -87.7264404
"47" "cs47" "y" 2005 316 "K to 6" 1 41.8972749 -87.7218463
"48" "cs48" "y" 2009 200 "K to 3" 0 42.2810327 -89.127242
"49" "cs49" "y" 2008 250 "9 to 12" 0 41.8692093 -87.7099304
"50" "cs50" "y" 2012 498 "9 to 11" 0 41.7350563 -87.6509555
"51" "cs51" "y" 2013 0 "K to 5" 1 41.9095011 -87.7524067
"52" "cs52" "y" 2013 0 "K to 8" 1 41.822525 -87.682137
"53" "cs53" "y" 2014 0 "K to 8" 1 41.7954348 -87.6834539
"54" "cs54" "y" 2010 160 "9" 0 41.875225 -87.689522
"55" "cs55" "y" 2013 184 "7 to 10" 0 41.9389511 -87.7411059
"56" "cs56" "n" 2010 250 "9 to 12" 0 41.8096405 -87.6000251
"57" "cs57" "y" 2003 318 "5 to 8" 0 41.8586384 -87.7212361
"58" "cs58" "y" 2010 744 "K to 5" 1 41.8617893 -87.7092239
"59" "cs59" "y" 2013 84 "5 to 6" 0 41.7936759 -87.6414371
"60" "cs60" "y" 2012 166 "5 to 7" 0 41.8914156 -87.7462477
"61" "cs61" "y" 2011 217 "K to 7" 1 41.6980009 -87.6308879
"62" "cs62" "y" 2012 360 "K to 12" 1 42.30653 -87.846077
"63" "cs63" "y" 2013 201 "K to 4" 1 41.8875512 -87.7022105
"64" "cs64" "y" 2013 200 "6 to 8" 0 41.8875512 -87.7022105
"65" "cs65" "y" 2009 223 "K to 5" 1 41.8781025 -87.6986955
"66" "cs66" "y" 2008 250 "K to 2" 0 41.8749375 -87.6864653
"67" "cs67" "y" 2011 398 "K to 6" 1 41.7430848 -87.6658539
"68" "cs68" "y" 2001 391 "PK to 8" 1 41.867149 -87.710907
"69" "cs69" "y" 2010 128 "K to 8" 1 41.732887 -87.545052
"70" "cs70" "n" 2011 236 "K to 3" 0 41.7660955 -87.5645509
"71" "cs71" "y" 2009 289 "K to 5" 1 42.222755 -89.128517
"72" "cs72" "y" 2005 203 "PK to 4" 1 41.855881 -87.730904
"73" "cs73" "y" 2012 228 "9 to 12" 0 41.88155 -87.733688
"74" "cs74" "n" 2008 30 "9 to 12" 0 40.474598 -89.005859
"75" "cs75" "y" 2012 205 "PK to 4" 1 41.766019 -87.6698685
"76" "cs76" "y" 2004 248 "K to 4" 1 41.8257169 -87.6677656
"77" "cs77" "y" 2013 105 "9 to 10" 0 41.734566 -87.55751
"78" "cs78" "y" 2013 102 "9 to 10" 0 41.70702 -87.601479
"79" "cs79" "y" 2009 0 "9 to 12" 0 41.879192 -87.678421
"80" "cs80" "y" 2012 431 "9 to 11" 0 41.8692093 -87.7099304
"81" "cs81" "y" 2008 140 "9" 0 41.7652588 -87.604126
"82" "cs82" "y" 2007 266 "9 to 10" 0 41.8952425 -87.6644564
"83" "cs83" "y" 2014 0 "9" 0 41.924839 -87.770264
"84" "cs84" "y" 2010 150 "9" 0 41.7788172 -87.6350635
"85" "cs85" "y" 2009 150 "9" 0 41.882393 -87.627022
"86" "cs86" "y" 2014 0 "9" 0 41.882656 -87.62738
