name,state,charter,magnet,latitude,longitude,idnumeric,schoolid,agencyid,code,grade4,county
21ST CENTURY PREPARATORY CENTER,Illinois,2-No,2-No,41.477561,-87.682570,0701616302008,*0701616302008,07-016-1630-02,1702,2-No,COOK COUNTY
8 POINTS CHARTER SCHOOL,Illinois,1-Yes,2-No,39.734267,-90.218512,460691170102C,*460691170102C,46-069-1170-22,1718,2-No,MORGAN COUNTY
A B SHEPARD HIGH SCH (CAMPUS),Illinois,2-No,2-No,41.655496,-87.776511,0701621800007,*0701621800007,07-016-2180-16,1701,2-No,COOK COUNTY
A C THOMPSON ELEM SCHOOL,Illinois,2-No,2-No,42.248332,-89.016634,0410120502059,*0410120502059,04-101-2050-25,1716,1-Yes,WINNEBAGO COUNTY
A E R O EDUCATIONAL CENTER,Illinois,2-No,2-No,41.752701,-87.769897,0701680606001,*0701680606001,07-016-8060-60,1703,1-Yes,COOK COUNTY
A F AMES ELEM SCHOOL,Illinois,2-No,2-No,41.840238,-87.819215,0601609602001,*0601609602001,06-016-0960-02,1704,1-Yes,COOK COUNTY
A J KATZENMAIER ELEM SCHOOL,Illinois,2-No,2-No,42.326049,-87.862726,3404918702008,*3404918702008,34-049-1870-26,1710,1-Yes,LAKE COUNTY
A O MARSHALL ELEM SCHOOL,Illinois,2-No,2-No,41.531441,-88.045135,5609908602011,*5609908602011,56-099-0860-05,1711,1-Yes,WILL COUNTY
A R GRAIFF ELEM SCHOOL,Illinois,2-No,2-No,38.965278,-89.764308,4005600602002,*4005600602002,40-056-0060-26,1713,1-Yes,MADISON COUNTY
A VITO MARTINEZ MIDDLE SCHOOL,Illinois,2-No,2-No,41.640541,-88.100950,56099365U1003,*56099365U1003,56-099-365U-26,1703,2-No,WILL COUNTY
A-C CENTRAL ELEMENTARY SCHOOL,Illinois,2-No,2-No,40.048909,-90.147679,4600926202001,*4600926202001,46-009-2620-26,1718,1-Yes,CASS COUNTY
A-C CENTRAL HIGH SCHOOL,Illinois,2-No,2-No,39.892332,-90.002870,4600926200002,*4600926200002,46-009-2620-26,1718,2-No,CASS COUNTY
A-C CENTRAL MIDDLE SCHOOL,Illinois,2-No,2-No,39.892332,-90.002870,4600926201002,*4600926201002,46-009-2620-26,1718,2-No,CASS COUNTY
ABBOTT MIDDLE SCHOOL,Illinois,2-No,2-No,42.032912,-88.302529,3104504601003,*3104504601003,31-045-0460-22,1708,2-No,KANE COUNTY
ABE LINCOLN ELEM SCHOOL,Illinois,2-No,2-No,41.827315,-87.774929,0601609902006,*0601609902006,06-016-0990-02,1703,1-Yes,COOK COUNTY
ABINGDON HIGH SCHOOL,Illinois,2-No,2-No,40.800363,-90.407331,3304821700001,*3304821700001,33-048-2170-26,1717,2-No,KNOX COUNTY
ABINGDON MIDDLE SCHOOL,Illinois,2-No,2-No,40.799301,-90.400884,3304821701002,*3304821701002,33-048-2170-26,1717,2-No,KNOX COUNTY
ABLE PROGRAM,Illinois,2-No,2-No,41.637079,-87.613248,0701615006105,*0701615006105,07-016-1500-61,1702,1-Yes,COOK COUNTY
ABRAHAM LINCOLN ELEM SCHOOL,Illinois,2-No,2-No,38.546078,-90.008831,5008211802001,*5008211802001,50-082-1180-02,1712,1-Yes,ST. CLAIR COUNTY
ABRAHAM LINCOLN ELEM SCHOOL,Illinois,2-No,2-No,41.868169,-87.795483,0601609702007,*0601609702007,06-016-0970-02,1707,1-Yes,COOK COUNTY
