"schoolid" "id" "name" "type" "black11" "size11" "lep11" "lowinc11" "rwarn" "rbelow" "rmeet" "rexceed" "mwarn" "mbelow" "mmeet" "mexceed" "school" "state" "charter" "magnet" "latitude" "longitude" "schoolid2" "agencyid" "congress" "grade4" "county"
"1" "0100100100001" "010010010260001" "Seymour High School              " "00" 0.4 198 0 37.4 NA NA NA NA NA NA NA NA "SEYMOUR HIGH SCHOOL" "Illinois" "2-No" "2-No" 39.816808 -91.250331 "*0100100100001" "01-001-0010-26" 1718 "2-No" "ADAMS COUNTY"
"2" "0100100102002" "010010010262002" "Seymour Elementary School        " "02" 0 244 0 38 3.4 17.2 37.9 41.4 0 6.9 65.5 27.6 "SEYMOUR ELEMENTARY SCHOOL" "Illinois" "2-No" "2-No" 39.818143 -91.248191 "*0100100102002" "01-001-0010-26" 1718 "1-Yes" "ADAMS COUNTY"
"3" "0100100200001" "010010020260001" "Liberty High School              " "00" 0 259 0 22.4 NA NA NA NA NA NA NA NA "LIBERTY HIGH SCHOOL" "Illinois" "2-No" "2-No" 39.879697 -91.107539 "*0100100200001" "01-001-0020-26" 1718 "2-No" "ADAMS COUNTY"
"4" "0100100202002" "010010020262002" "Liberty Elementary School        " "02" 0 334 0 30.2 0 6.8 54.5 38.6 0 2.3 61.4 36.4 "LIBERTY ELEMENTARY SCHOOL" "Illinois" "2-No" "2-No" 39.886022 -91.10816 "*0100100202002" "01-001-0020-26" 1718 "1-Yes" "ADAMS COUNTY"
"5" "0100100300001" "010010030260001" "Central High School              " "00" 0 235 0.4 34.5 NA NA NA NA NA NA NA NA "CENTRAL HIGH SCHOOL" "Illinois" "2-No" "2-No" 40.06439 -91.02887 "*0100100300001" "01-001-0030-26" 1718 "2-No" "ADAMS COUNTY"
"6" "0100100301001" "010010030261001" "Central Junior High School       " "01" 0 265 0 44.9 NA NA NA NA NA NA NA NA "CENTRAL JUNIOR HIGH SCHOOL" "Illinois" "2-No" "2-No" 40.063147 -91.028217 "*0100100301001" "01-001-0030-26" 1718 "2-No" "ADAMS COUNTY"
"7" "0100100302003" "010010030262003" "Central Elementary Grade School  " "02" 0 223 0 39.2 NA NA NA NA NA NA NA NA "CENTRAL ELEMENTARY GRADE SCHOOL" "Illinois" "2-No" "2-No" 40.104662 -91.135832 "*0100100302003" "01-001-0030-26" 1718 "2-No" "ADAMS COUNTY"
"8" "0100100302008" "010010030262008" "Central 3-4 Middle School        " "02" 0 79 0 44.9 1.8 30.4 51.8 16.1 3.6 14.3 62.5 19.6 "CENTRAL 3-4 MIDDLE SCHOOL" "Illinois" "2-No" "2-No" 40.19445 -91.036815 "*0100100302008" "01-001-0030-26" 1718 "1-Yes" "ADAMS COUNTY"
"9" "0100100400001" "010010040260001" "Unity High School                " "00" 0 153 0 24 NA NA NA NA NA NA NA NA "UNITY HIGH SCHOOL" "Illinois" "2-No" "2-No" 40.088178 -91.291521 "*0100100400001" "01-001-0040-26" 1718 "2-No" "ADAMS COUNTY"
"10" "0100100401001" "010010040261001" "Unity Middle School              " "01" 0 197 0 29.5 NA NA NA NA NA NA NA NA "UNITY MIDDLE SCHOOL" "Illinois" "2-No" "2-No" 40.088178 -91.291521 "*0100100401001" "01-001-0040-26" 1718 "2-No" "ADAMS COUNTY"
